city,aqi,class,date,time(XX:00)
沈阳,93,良,2018_1_2,13
大连,58,良,2018_1_2,13
鞍山,48,优,2018_1_2,13
抚顺,78,良,2018_1_2,13
本溪,92,良,2018_1_2,13
丹东,32,优,2018_1_2,13
锦州,82,良,2018_1_2,13
营口,45,优,2018_1_2,13
阜新,65,良,2018_1_2,13
辽阳,48,优,2018_1_2,13
盘锦,41,优,2018_1_2,13
铁岭,49,优,2018_1_2,13
朝阳,50,优,2018_1_2,13
葫芦岛,49,优,2018_1_2,13
哈尔滨,71,良,2018_1_2,13
齐齐哈尔,131,轻度污染,2018_1_2,13
牡丹江,38,优,2018_1_2,13
佳木斯,44,优,2018_1_2,13
大庆,79,良,2018_1_2,13
伊春,67,良,2018_1_2,13
鸡西,25,优,2018_1_2,13
鹤岗,42,优,2018_1_2,13
双鸭山,61,良,2018_1_2,13
七台河,61,良,2018_1_2,13
绥化,65,良,2018_1_2,13
黑河,74,良,2018_1_2,13
大兴安岭地区,24,优,2018_1_2,13
长春,50,优,2018_1_2,13
吉林,30,优,2018_1_2,13
四平,37,优,2018_1_2,13
辽源,64,良,2018_1_2,13
通化,99,良,2018_1_2,13
白山,83,良,2018_1_2,13
白城,76,良,2018_1_2,13
松原,74,良,2018_1_2,13
延边州,18,优,2018_1_2,13
