city,aqi,class,date,time(XX:00)
沈阳,66,良,2018_1_2,14
大连,58,良,2018_1_2,14
鞍山,52,良,2018_1_2,14
抚顺,71,良,2018_1_2,14
本溪,84,良,2018_1_2,14
丹东,30,优,2018_1_2,14
锦州,67,良,2018_1_2,14
营口,41,优,2018_1_2,14
阜新,60,良,2018_1_2,14
辽阳,57,良,2018_1_2,14
盘锦,43,优,2018_1_2,14
铁岭,57,良,2018_1_2,14
朝阳,51,良,2018_1_2,14
葫芦岛,41,优,2018_1_2,14
哈尔滨,66,良,2018_1_2,14
齐齐哈尔,154,中度污染,2018_1_2,14
牡丹江,40,优,2018_1_2,14
佳木斯,48,优,2018_1_2,14
大庆,91,良,2018_1_2,14
伊春,60,良,2018_1_2,14
鸡西,24,优,2018_1_2,14
鹤岗,49,优,2018_1_2,14
双鸭山,57,良,2018_1_2,14
七台河,57,良,2018_1_2,14
绥化,59,良,2018_1_2,14
黑河,74,良,2018_1_2,14
大兴安岭地区,23,优,2018_1_2,14
长春,49,优,2018_1_2,14
吉林,30,优,2018_1_2,14
四平,45,优,2018_1_2,14
辽源,62,良,2018_1_2,14
通化,84,良,2018_1_2,14
白山,67,良,2018_1_2,14
白城,64,良,2018_1_2,14
松原,70,良,2018_1_2,14
延边州,14,优,2018_1_2,14
