city,aqi,class,date,time(XX:00)
沈阳,94,良,2018_1_2,20
大连,70,良,2018_1_2,20
鞍山,63,良,2018_1_2,20
抚顺,139,轻度污染,2018_1_2,20
本溪,66,良,2018_1_2,20
丹东,158,中度污染,2018_1_2,20
锦州,68,良,2018_1_2,20
营口,55,良,2018_1_2,20
阜新,106,轻度污染,2018_1_2,20
辽阳,53,良,2018_1_2,20
盘锦,39,优,2018_1_2,20
铁岭,92,良,2018_1_2,20
朝阳,148,轻度污染,2018_1_2,20
葫芦岛,68,良,2018_1_2,20
哈尔滨,109,轻度污染,2018_1_2,20
齐齐哈尔,111,轻度污染,2018_1_2,20
牡丹江,82,良,2018_1_2,20
佳木斯,64,良,2018_1_2,20
大庆,141,轻度污染,2018_1_2,20
伊春,68,良,2018_1_2,20
鸡西,73,良,2018_1_2,20
鹤岗,101,轻度污染,2018_1_2,20
双鸭山,45,优,2018_1_2,20
七台河,77,良,2018_1_2,20
绥化,57,良,2018_1_2,20
黑河,126,轻度污染,2018_1_2,20
大兴安岭地区,120,轻度污染,2018_1_2,20
长春,106,轻度污染,2018_1_2,20
吉林,51,良,2018_1_2,20
四平,82,良,2018_1_2,20
辽源,79,良,2018_1_2,20
通化,85,良,2018_1_2,20
白山,68,良,2018_1_2,20
白城,83,良,2018_1_2,20
松原,100,良,2018_1_2,20
延边州,60,良,2018_1_2,20
