city,aqi,class,date,time(XX:00)
沈阳,66,良,2018_1_2,17
大连,62,良,2018_1_2,17
鞍山,61,良,2018_1_2,17
抚顺,80,良,2018_1_2,17
本溪,54,良,2018_1_2,17
丹东,40,优,2018_1_2,17
锦州,46,优,2018_1_2,17
营口,36,优,2018_1_2,17
阜新,64,良,2018_1_2,17
辽阳,70,良,2018_1_2,17
盘锦,33,优,2018_1_2,17
铁岭,72,良,2018_1_2,17
朝阳,59,良,2018_1_2,17
葫芦岛,30,优,2018_1_2,17
哈尔滨,65,良,2018_1_2,17
齐齐哈尔,87,良,2018_1_2,17
牡丹江,49,优,2018_1_2,17
佳木斯,50,优,2018_1_2,17
大庆,106,轻度污染,2018_1_2,17
伊春,58,良,2018_1_2,17
鸡西,41,优,2018_1_2,17
鹤岗,69,良,2018_1_2,17
双鸭山,55,良,2018_1_2,17
七台河,69,良,2018_1_2,17
绥化,63,良,2018_1_2,17
黑河,60,良,2018_1_2,17
大兴安岭地区,42,优,2018_1_2,17
长春,67,良,2018_1_2,17
吉林,33,优,2018_1_2,17
四平,52,良,2018_1_2,17
辽源,47,优,2018_1_2,17
通化,66,良,2018_1_2,17
白山,37,优,2018_1_2,17
白城,57,良,2018_1_2,17
松原,70,良,2018_1_2,17
延边州,36,优,2018_1_2,17
