city,aqi,class,date,time(XX:00)
沈阳,78,良,2018_1_2,22
大连,67,良,2018_1_2,22
鞍山,59,良,2018_1_2,22
抚顺,133,轻度污染,2018_1_2,22
本溪,66,良,2018_1_2,22
丹东,75,良,2018_1_2,22
锦州,126,轻度污染,2018_1_2,22
营口,60,良,2018_1_2,22
阜新,105,轻度污染,2018_1_2,22
辽阳,50,优,2018_1_2,22
盘锦,63,良,2018_1_2,22
铁岭,75,良,2018_1_2,22
朝阳,167,中度污染,2018_1_2,22
葫芦岛,84,良,2018_1_2,22
哈尔滨,129,轻度污染,2018_1_2,22
齐齐哈尔,135,轻度污染,2018_1_2,22
牡丹江,97,良,2018_1_2,22
佳木斯,68,良,2018_1_2,22
大庆,169,中度污染,2018_1_2,22
伊春,81,良,2018_1_2,22
鸡西,63,良,2018_1_2,22
鹤岗,90,良,2018_1_2,22
双鸭山,51,良,2018_1_2,22
七台河,100,良,2018_1_2,22
绥化,69,良,2018_1_2,22
黑河,107,轻度污染,2018_1_2,22
大兴安岭地区,116,轻度污染,2018_1_2,22
长春,113,轻度污染,2018_1_2,22
吉林,64,良,2018_1_2,22
四平,113,轻度污染,2018_1_2,22
辽源,99,良,2018_1_2,22
通化,94,良,2018_1_2,22
白山,66,良,2018_1_2,22
白城,102,轻度污染,2018_1_2,22
松原,114,轻度污染,2018_1_2,22
延边州,46,优,2018_1_2,22
