city,aqi,class,date,time(XX:00)
沈阳,87,良,2018_1_2,21
大连,70,良,2018_1_2,21
鞍山,63,良,2018_1_2,21
抚顺,140,轻度污染,2018_1_2,21
本溪,64,良,2018_1_2,21
丹东,123,轻度污染,2018_1_2,21
锦州,83,良,2018_1_2,21
营口,54,良,2018_1_2,21
阜新,100,良,2018_1_2,21
辽阳,46,优,2018_1_2,21
盘锦,52,良,2018_1_2,21
铁岭,81,良,2018_1_2,21
朝阳,169,中度污染,2018_1_2,21
葫芦岛,92,良,2018_1_2,21
哈尔滨,122,轻度污染,2018_1_2,21
齐齐哈尔,124,轻度污染,2018_1_2,21
牡丹江,93,良,2018_1_2,21
佳木斯,69,良,2018_1_2,21
大庆,154,中度污染,2018_1_2,21
伊春,76,良,2018_1_2,21
鸡西,67,良,2018_1_2,21
鹤岗,107,轻度污染,2018_1_2,21
双鸭山,59,良,2018_1_2,21
七台河,76,良,2018_1_2,21
绥化,63,良,2018_1_2,21
黑河,140,轻度污染,2018_1_2,21
大兴安岭地区,132,轻度污染,2018_1_2,21
长春,112,轻度污染,2018_1_2,21
吉林,63,良,2018_1_2,21
四平,97,良,2018_1_2,21
辽源,99,良,2018_1_2,21
通化,82,良,2018_1_2,21
白山,64,良,2018_1_2,21
白城,88,良,2018_1_2,21
松原,106,轻度污染,2018_1_2,21
延边州,61,良,2018_1_2,21
