city,aqi,class,date,time(XX:00)
沈阳,112,轻度污染,2018_1_2,12
大连,56,良,2018_1_2,12
鞍山,36,优,2018_1_2,12
抚顺,74,良,2018_1_2,12
本溪,103,轻度污染,2018_1_2,12
丹东,34,优,2018_1_2,12
锦州,92,良,2018_1_2,12
营口,50,优,2018_1_2,12
阜新,83,良,2018_1_2,12
辽阳,49,优,2018_1_2,12
盘锦,39,优,2018_1_2,12
铁岭,49,优,2018_1_2,12
朝阳,45,优,2018_1_2,12
葫芦岛,51,良,2018_1_2,12
哈尔滨,75,良,2018_1_2,12
齐齐哈尔,135,轻度污染,2018_1_2,12
牡丹江,46,优,2018_1_2,12
佳木斯,38,优,2018_1_2,12
大庆,82,良,2018_1_2,12
伊春,73,良,2018_1_2,12
鸡西,26,优,2018_1_2,12
鹤岗,44,优,2018_1_2,12
双鸭山,65,良,2018_1_2,12
七台河,66,良,2018_1_2,12
绥化,62,良,2018_1_2,12
黑河,63,良,2018_1_2,12
大兴安岭地区,30,优,2018_1_2,12
长春,55,良,2018_1_2,12
吉林,36,优,2018_1_2,12
四平,34,优,2018_1_2,12
辽源,78,良,2018_1_2,12
通化,121,轻度污染,2018_1_2,12
白山,98,良,2018_1_2,12
白城,75,良,2018_1_2,12
松原,77,良,2018_1_2,12
延边州,22,优,2018_1_2,12
