沈阳,shenyang,liaoning,China
大连,dalian,liaoning,China
鞍山,anshan,liaoning,China
抚顺,fushun,liaoning,China
本溪,benxi,liaoning,China
丹东,dandong,liaoning,China
锦州,jinzhou,liaoning,China
营口,yingkou,liaoning,China
阜新,fuxin,liaoning,China
辽阳,liaoyang,liaoning,China
盘锦,panjin,liaoning,China
铁岭,tieling,liaoning,China
朝阳,chaoyang,liaoning,China
葫芦岛,huludao,liaoning,China
哈尔滨,haerbin,heilongjiang,China
齐齐哈尔,qiqihaer,heilongjiang,China
牡丹江,mudanjiang,heilongjiang,China
佳木斯,jiamusi,heilongjiang,China
大庆,daqing,heilongjiang,China
伊春,yichun,heilongjiang,China
鸡西,jixi,heilongjiang,China
鹤岗,hegang,heilongjiang,China
双鸭山,shuangyashan,heilongjiang,China
七台河,qitaihe,heilongjiang,China
绥化,suihua,heilongjiang,China
黑河,heihe,heilongjiang,China
大兴安岭地区,daxinganlingdiqu,heilongjiang,China
长春,changchun,jilin,China
吉林,jilin,jilin,China
四平,siping,jilin,China
辽源,liaoyuan,jilin,China
通化,tonghua,jilin,China
白山,baishan,jilin,China
白城,baicheng,jilin,China
松原,songyuan,jilin,China
延边州,yanbianzhou,jilin,China
