city,aqi,class,date,time(XX:00)
沈阳,63,良,2018_1_2,16
大连,67,良,2018_1_2,16
鞍山,52,良,2018_1_2,16
抚顺,64,良,2018_1_2,16
本溪,56,良,2018_1_2,16
丹东,31,优,2018_1_2,16
锦州,61,良,2018_1_2,16
营口,43,优,2018_1_2,16
阜新,56,良,2018_1_2,16
辽阳,59,良,2018_1_2,16
盘锦,36,优,2018_1_2,16
铁岭,63,良,2018_1_2,16
朝阳,46,优,2018_1_2,16
葫芦岛,32,优,2018_1_2,16
哈尔滨,57,良,2018_1_2,16
齐齐哈尔,112,轻度污染,2018_1_2,16
牡丹江,44,优,2018_1_2,16
佳木斯,47,优,2018_1_2,16
大庆,94,良,2018_1_2,16
伊春,57,良,2018_1_2,16
鸡西,28,优,2018_1_2,16
鹤岗,66,良,2018_1_2,16
双鸭山,55,良,2018_1_2,16
七台河,57,良,2018_1_2,16
绥化,64,良,2018_1_2,16
黑河,65,良,2018_1_2,16
大兴安岭地区,27,优,2018_1_2,16
长春,53,良,2018_1_2,16
吉林,31,优,2018_1_2,16
四平,44,优,2018_1_2,16
辽源,54,良,2018_1_2,16
通化,68,良,2018_1_2,16
白山,42,优,2018_1_2,16
白城,57,良,2018_1_2,16
松原,66,良,2018_1_2,16
延边州,24,优,2018_1_2,16
