city,aqi,class,date,time(XX:00)
沈阳,96,良,2018_1_2,19
大连,66,良,2018_1_2,19
鞍山,70,良,2018_1_2,19
抚顺,120,轻度污染,2018_1_2,19
本溪,57,良,2018_1_2,19
丹东,105,轻度污染,2018_1_2,19
锦州,57,良,2018_1_2,19
营口,59,良,2018_1_2,19
阜新,134,轻度污染,2018_1_2,19
辽阳,66,良,2018_1_2,19
盘锦,55,良,2018_1_2,19
铁岭,105,轻度污染,2018_1_2,19
朝阳,92,良,2018_1_2,19
葫芦岛,47,优,2018_1_2,19
哈尔滨,95,良,2018_1_2,19
齐齐哈尔,101,轻度污染,2018_1_2,19
牡丹江,81,良,2018_1_2,19
佳木斯,59,良,2018_1_2,19
大庆,136,轻度污染,2018_1_2,19
伊春,63,良,2018_1_2,19
鸡西,57,良,2018_1_2,19
鹤岗,88,良,2018_1_2,19
双鸭山,50,优,2018_1_2,19
七台河,79,良,2018_1_2,19
绥化,63,良,2018_1_2,19
黑河,64,良,2018_1_2,19
大兴安岭地区,75,良,2018_1_2,19
长春,100,良,2018_1_2,19
吉林,43,优,2018_1_2,19
四平,68,良,2018_1_2,19
辽源,64,良,2018_1_2,19
通化,76,良,2018_1_2,19
白山,57,良,2018_1_2,19
白城,89,良,2018_1_2,19
松原,91,良,2018_1_2,19
延边州,61,良,2018_1_2,19
